 177.94501 -38.40000   0.00000   0.82597
 177.94501 -38.40360   0.00000   0.83555
 177.94501 -38.40720   0.00000   0.80441
 177.94501 -38.41080   0.00000   0.78579
 177.94501 -38.41440   0.00000   0.79365
 177.94501 -38.41800   0.00000   0.82500
 177.94501 -38.42160   0.00000   0.83942
 177.94501 -38.42520   0.00000   0.81783
 177.94501 -38.42880   0.00000   0.82297
 177.94501 -38.43240   0.00000   0.82529
 177.94501 -38.43600   0.00000   0.79533
 177.94501 -38.43960   0.00000   0.81404
 177.94501 -38.44320   0.00000   0.85279
 177.94501 -38.44680   0.00000   0.88627
 177.94501 -38.45040   0.00000   0.87066
 177.94501 -38.45400   0.00000   0.86875
 177.94501 -38.45760   0.00000   0.89161
 177.94501 -38.46120   0.00000   0.83431
 177.94501 -38.46480   0.00000   0.84757
 177.94501 -38.46840   0.00000   0.82532
 177.94501 -38.47200   0.00000   0.83509
 177.94501 -38.47560   0.00000   0.80063
 177.94501 -38.47920   0.00000   0.77748
 177.94501 -38.48280   0.00000   0.75441
 177.94501 -38.48640   0.00000   0.73012
 177.94501 -38.49000   0.00000   0.74621
 177.94501 -38.49360   0.00000   0.72494
 177.94501 -38.49720   0.00000   0.77591
 177.94501 -38.50080   0.00000   0.81318
 177.94501 -38.50440   0.00000   0.80616
 177.94501 -38.50800   0.00000   0.82472
 177.94501 -38.51160   0.00000   0.83985
 177.94501 -38.51520   0.00000   0.79376
 177.94501 -38.51880   0.00000   0.84499
 177.94501 -38.52240   0.00000   0.81616
 177.94501 -38.52600   0.00000   0.80573
 177.94501 -38.52960   0.00000   0.81530
 177.94501 -38.53320   0.00000   0.79011
 177.94501 -38.53680   0.00000   0.82042
 177.94501 -38.54040   0.00000   0.80489
 177.94501 -38.54400   0.00000   0.79562
 177.94501 -38.54760   0.00000   0.80221
 177.94501 -38.55120   0.00000   0.79254
 177.94501 -38.55480   0.00000   0.81147
 177.94501 -38.55840   0.00000   0.80813
 177.94501 -38.56200   0.00000   0.80949
 177.94501 -38.56560   0.00000   0.81248
 177.94501 -38.56920   0.00000   0.86584
 177.94501 -38.57280   0.00000   0.87180
 177.94501 -38.57640   0.00000   0.84232
 177.94501 -38.58000   0.00000   0.81544
 177.94501 -38.58360   0.00000   0.79183
 177.94501 -38.58720   0.00000   0.78951
 177.94501 -38.59080   0.00000   0.77091
 177.94501 -38.59440   0.00000   0.79769
 177.94501 -38.59800   0.00000   0.80497
 177.94501 -38.60160   0.00000   0.79789
